Name,Sail no.,Type,Design,Designer,Region
Wanaka II,9108,Keelboat,Jeanneau 54,Garroni / Fauroux,
Wanda,7048,Multi-hull,,R Hartley,
Wanda,1158,,,E Cox,
Wanderbird,392,,,B Woollacott,
Wanderer,7044,Multi-hull,Trimaran,R Hartley,
Wanderer,t1014,Trailer Yacht,Farr 7500,Bruce Farr,
Wanderer,723,,,Woollacott,
Wanderer,1008,,,Logan,
Wanderer,,Keelboat,Amel 16,Amel,
Wanderer II,T2331,,,Alan Wright,
Wanderer II,1572,,,Hartley,
Wanderer III,8306,,,B Roberts,
Wanderer IV,T2260,,,R Hartley,
Wanderer Too,T2887,,,L Davidson,
Wanderer V,T1784,,Merlin,A Mummery,
Wandering Spirit,8589,,,Hartley,
Wandering Star,1527,Keelboat,Townson 32,D T Townson,
Wandering Star II,5524,,,Carter/Freer,
Wanderlust,793,,,Lidgard,
Wandjina,6671,,,D Ganley,
Wanea,408,,Daydream,K Watts,
Wanea II,1184,,,L Lovegrove,
Wang,T4004,,Elliott 5.9,Greg Elliott,
Wanigan,5275,,Whiting 29,Paul Whiting,
Wansfell,T83,,van Dieman,J Lidgard,
Waqa,T849,,,R Hartley,
War Child,T2533,,,F Pelin,
War Child,5730,Keelboat,Wright 10,Alan Wright,Canterbury
War Machine,4881,Keelboat,Young 88,Jim Young,
Warana,2908,,H 28,L F Herreshoff,
Waratah,T2622,,Sabre 20,Alan Scott,
Warhorse,9332,Keelboat,Boden 40,Cecil E Boden,Nelson/Marlborough
Warlock,1317,,,Alan Wright,
Warlock II,6575,,,Donavan,
Warlord,L1074,,,B Upfold,
Warlord,3616,,Farr 1104,Bruce Farr,
Warm Fuzzy,2087,,,J Spencer,
Warm Ride,3870,,,J Spencer,
Warmwinds,7324,,Trimaran,J Westell,
Warringa,4717,Keelboat,Farr 11.6,Bruce Farr,Auckland
Warringal,3686,Keelboat,Reactor,P Whiting,
Warrior,5744,,,P Whiting,
Warspite,9840,Keelboat,Cruiser,Felci Yacht Design,
Wasabi,278,Keelboat,Pied Piper,Des Townson,
Wasabi,O88,Keelboat,,Sayer,
Wassail,5290,,,A Warwick,
Wassail II,4474,Other,,R Hartley,
Wasted Away,8032,Keelboat,Ross 930,M J Ross,
Wasted Away Again,1066,Keelboat,,Murray Ross,
Wasted Daze,6961,,Lotus 10.6,Alan Wright,
Wastrel,7159,,,A Piver,
Watahero,1954,,,Van Der Staddt,
Watchit,T1759,,Young 6,Jim Young,
Watea,6645,Keelboat,,D Ganley,
Water Cracker,T1189,,,Honey/Trethewey,
Water Witch,T1052,Trailer Yacht,,J Young,
Waterbed,T1078,Trailer Yacht,,TretheweyMarten,
Watercracker,3698,,Ventura,Owen Woolley,
Watercraft,L1815,,,Watercraft Ltd,
Watermark,8852,Keelboat,,L Davidson,
Watermark,6199,Keelboat,Farr 1020,Bruce Farr,
Watermark II,6142,Keelboat,Young 88,Jim Young,
Watermusic,8939,Keelboat,,Frank Butler,
Watership Down,T2653,Trailer Yacht,Young 6.7,Jim Young,
Waterwitch,153,Keelboat,B Class,Jim Young,Auckland
Watten,L9611,Launch,,Stabicraft,Waikato/Thames
Watts & Hughes,9902,Keelboat,Elliott 7,Greg Elliott,
Watts & Hughes,T4003,,Elliott 5.9,Greg Elliott,
Watusi,T1151,Trailer Yacht,van Dieman,J Lidgard,
Wave,9775,Keelboat,Grand Soleil 50,Judel / Vrolijk,
Wave Breaker,5500,,,K Lidgard,
Wave Dance,5517,Other,,Cassidy,
Wave Dancer III,T229,Other,,Mander,
Wave Lancer,6270,,Compass 790,H Wagstaff,
Wave Nine,6727,Other,Farr 1220,Bruce Farr,
Wave Runner,5287,Keelboat,,C Childs,
Wave Trail,5650,Keelboat,Noelex 30,Bruce Farr,
Wave Train,T325,Trailer Yacht,Noelex 25,TretheweyMarten,
Wave'n'go,T2838,,,TretheweyMarten,
Wavecajin,5212,Keelboat,Ross 830,Murray Ross,
Wavedancer,4990,Keelboat,Farr 1020,Bruce Farr,
Wavedancer II,T3187,,Young 780,Jim Young,
Wavedancer II,T799,Other,Caribou 17,F Pelin,
Waveform,T3139,,Farr 6000,Bruce Farr,
Wavelength,T1953,,Gazelle 24,Adams,
Wavelength,5150,Other,Mull 9.5,Gary Mull,
Waverider,5082,Keelboat,Lotus 10.6,Alan Wright,
Waverider,T2276,Other,,Dodgson/Roberts,
Waverider II,T456,Trailer Yacht,Bonito Aquarius 22,Clive Jeffries,
Waverunner,7219,,,M Tennant,
Waverunner II,584,,,J Spencer,
Waves,6341,Other,,R Hartley,
Wawa,T2677,,,A Scott,
Way Out,T3779,,,Honey/Trethway,
Way Out 11,10052,Multi-hull,Farrier 22R,Farrier,
Wayfarer,4512,Other,Salar 40,Laurent Giles,
Wayfarer,L1171,,,J Norris,
Wayfarer IV,8510,Other,,J Alden,
Wayleggo,3433,Keelboat,Cavalier 30,D Peterson,
Wayward,T1609,,,Alan Wright,
Wayward Wind,5204,Keelboat,,Alan Warwick,
Wayward Wind II,T1583,Trailer Yacht,,Owen Woolley,
Wayward Wind II,9168,Keelboat,Roberts Offshore 44,Roberts,
Wayward Winds,5285,,,B Roberts,
Wazzock,5123,,Farr 9.2,Bruce Farr,
We Four II,T2630,,Monarch 17,Alan Wright,
We Two,8284,,,Herreshoff,
We're Here,T1219,,,R Hartley,
Weapon of Choice,10088,Keelboat,Dibley Houghton,Dibley Houghton,
Weatherly,L1068,,,Shipbuilders,
Wedgetail,9442,Keelboat,Welbourne 42,Hugh Welbourn,Auckland
Wedgwood,4177,,,J Spencer,
Wedgwood,T2196,,,F Pelin,
Wednesday Night Fever,T3410,,,TretheweyMarten,
Wee Blossom,9502,Keelboat,S and S Falcon 1/4 Tonner,Sparkman Stevens,Nelson/Marlborough
Wee Bounce,T1220,,Cherry 16,F Pelin,
Wee Dram,T3047,,,Alan Wright,
Wee Mcfarr,T612,Trailer Yacht,Farr 5000,Bruce Farr,
Wee One,T613,,,A N Wright,
Wee-Jez,T270,,,R Hartley,
Weekender,T1802,,,R Hartley,
Weiti,140,Other,,M Carter,
Weka,944,,,J Spencer,
Welcome Home,1983,Keelboat,Chico 30,Gary Mull,
Welsh Witch,T2283,,,,
Wemoon,8798,Keelboat,,Robert Tucker,Auckland
Wendella,1211,,Camelot,R L Stewart,
Wendy II,3877,,,Folkboat,
Weona,4693,,,L F Herreshoff,
Wesley's Dream,4478,,,B Woollacott,
West Away,7277,,Catamaran,F Pelin,
West Wind,T202,,,R Hartley,
West Wind II,3716,Other,,Laurent Giles,
Westaway II,7321,,Catamaran,Skilton,
Westerly I,163,,,R L Stewart,
Westerly II,L1219,,,Carter,
Western Mailing,9906,Keelboat,Elliott 7,Greg Elliott,
Westerner,5353,,,J Spencer,
Westie Gal,8384,,Young 88,Young,
Weston Lea,6534,,Lotus 10.6,Alan Wright,
Westpoint,5324,,,R Beale,
Westwind,34,Other,,B Woollacott,
Westwind III,739,,,Dennis Ganley,
Westwind V,6596,Keelboat,,Athol Burns,
Wet Dreams,T55,Trailer Yacht,Young 780 modified,Jim young,
Wet Paint,1912,,,Dennison,
Wet Wet Wet,T3894,,Kestrel,F DeJoux,
Weta,T291,Trailer Yacht,Tasman 20,Alan Wright,Canterbury
Wetherley,O3082,Keelboat,Not Specified,Camper & Nicholson (Nicholson 45),
Weypago,2028,Keelboat,H 28,L F Herrshoff,
Whaanau,T1036,Trailer Yacht,Hartley 21,R Hartley,
Whai Repo,9671,Multi-hull,Corsair Sprint 750,Ian Farrier / Corsair,
Whaingaroa,T1816,,,R Hartley,
Whaka,T4231,Trailer Yacht,Shaw 650,Rob Shaw,
Whakaiti,T1875,,Coronet 20,J Brooke,
Whakari,L1221,,,,
Whakatere,7118,,,Piver,
Whakaturi,2587,,,R Hartley,
Whale Rider,2683,Keelboat,Ross 830,M Ross,Auckland
Whanake,2993,,,C Robertson,
Whanau,T2708,,Farr 5000,Bruce Farr,
Whangara,1226,,,Lidgard,
Wharehau,T628,,,Alan Wright,
Wharetutu,1104,Keelboat,Pop Jorgensen 36,Pop Jorgensen,
Whatever,8954,Keelboat,Mumm 36,Farr,Bay of Plenty
Whats News,8205,Keelboat,,J Young,
Whetu,3052,,,Alan Wright,
Whetu II,9340,Keelboat,Whylo,Nick Skeats,
Whichway,1248,Keelboat,Davidson 52,L Davidson,Auckland
Whimaway,8283,Other,Farr 11.6,Bruce Farr,
Whimbrel,1816,Other,,H Wagstaff,
Whimbrel II,2719,,Pacific 38,Smith,
Whimsical-N-Ocean,3599,,,L F Herreshoff,
Whimsy,T1102,Trailer Yacht,Carvel 25,F Pelin,
Whio,7472,Multi-hull,GBE cat,M Tennant,
Whio,2748,Keelboat,,R Hartley,
Whio II,T2481,,,H Wagstaff,
Whipcord,T2257,,,B Birdsall,
Whipjack,4564,Other,,R Hartley,
Whipper,T2286,,Gazelle 24,T Adams,
Whipple,T4063,,Hartley 16,R Hartley,
Whirinaki IV,5939,Keelboat,Lotus 950,Alan Wright,
Whirler,T1451,,,L Davidson,
Whirlwind,2499,Keelboat,,Holman & Pye,
Whirlwind NZ,9931,Keelboat,Ron Holland,Ron Holland,Northland
Whiskers,7310,Multi-hull,Catamaran,G Cooke,
Whiskey Romeo Hotel,,Multi-hull,Catamaran,,
Whisky,T503,,,R Hartley,
Whisp,2599,,,D T Townson,
Whisper,T1763,,Hartley 14,R Hartley,
Whisper,429,,,Woollacott,
Whisper II,T3462,,,P Whiting,
Whisper II,9940,Keelboat,Beneteau Sense 46,Berret Racoupeau Yachts Design,Auckland
Whisper III,T423,,Sabre 22,A W Scott,
Whisper III,T975,Trailer Yacht,Farr 7500,Bruce Farr,
Whispering,5202,Other,,F Pelin,
Whispering Hope,3076,,Lidgard 36,John Lidgard,
Whispering Hope,7773,,,Piver,
Whispering Wind,T4133,,Hartley 18,Hartley,
Whispers,T2537,,,Honey/Trethewey,
Whispers II,T2264,,,H Wagstaff,
Whispers II,996,Keelboat,Spencer 45,J Spencer,
Whispers Of Mahinapua,T1809,,,D Nixon,
Whistler,2486,Keelboat,S & S 24,Sparkman & Stephens,
Whistler II,6960,Keelboat,Warwick 10.7,Alan Warwick,
Whistler II,9154,Keelboat,,Holman and Pye,
Whistler III,5988,Keelboat,Young 88,Jim Young,Wellington
Whistler Racing,9002,Keelboat,Farr MRX,Bruce Farr,Wellington
Whistling Oyster,O002,Keelboat,,Holman & Pye Oyster,
Whitby,4252,,,L F Herreshoff,
White Burgundy,5284,,Whiting 29,P Whiting,
White Caps II,9834,Keelboat,Beneteau 46,Barret Racoupeau,Canterbury
White Cavalier,3248,Keelboat,IOR 1/2 ton,Doug Peterson,Wellington
White Cloud,8978,Keelboat,,Farr,
White Cloud,9148,Keelboat,Platu 25,Bruce Farr Yacht Design,
White Dove,T3170,,,F de Joux,
White Eagle,6223,,,Alan Wright,
White Heat,T4065,,Elliott 7,Greg Elliott,
White Heat,8364,,,R Beale,
White Heather,901,Other,,J Lidgard,
White Heather,76,,,A Orams,
White Heather III,501,Keelboat,,Jim Young,
White Heron,5780,,Lotus 10.6,Alan Wright,
White Hot,T3870,Trailer Yacht,,Honey/Tretheway,
White Hot,6733,,,C White,
White Knight,6676,,Whiting 29,P Whiting,
White Knight,T3859,,,Greg Elliott,
White Knight,7536,Multi-hull,GBE 9.5m,Tennant,Auckland
White Knight II,T3906,,Quintet 6.0,Alan Wright,
White Lie,6828,,Whiting 29,Paul Whiting,
White Lightning,4050,,Farr 11.6,Bruce Farr,
White Magic,5384,,,P Whiting,
White Magic,T3514,,Young 6.7,Jim Young,
White Mischief,6734,Keelboat,Beale 33,Ray Beale,
White Out,5614,,Whiting 29,P Whiting,
White Pearl,T2829,Trailer Yacht,Caribou 20,Frank Pelin,
White Pepper,8161,,Whiting 29,P Whiting,
White Pointer,8038,Keelboat,Lidgard,D Lidgard,
White Pointer,E150,,Etchells,Etchell,
White Rose,T412,Trailer Yacht,Hot Pot,Harold Evans,
White Rose,5271,Keelboat,Whiting 29,Paul Whiting,
White Shadow,9454,Keelboat,Ganley,Dennis Ganley,
White Spirit,5984,Keelboat,Mull 6.7,Gary Mull,Northland
White Squall,1356,,,B Woollacott,
White Tie,974,,,Illingworth,
White Wash,3818,,,P Atkinson,
White Water,5112,,Mirage 30,M Elmes,
White Wave,9506,Keelboat,Cruising boat,Philip Briande,
White Wine,T584,Trailer Yacht,,Honey/Trethewey,
White Wings,T1907,,Caribou 20,F Pelin,
Whitebait,8347,Keelboat,White 39,Chris White,
Whitecap,8734,Keelboat,Cavalier 36,Peterson,
Whitehaven,4923,Other,,Laurent Giles,
Whitehawk,4830,Other,Whiting 36,P Whiting,
Whitewing,3934,,,H Wagstaff,
Whitewing,T1016,Trailer Yacht,,,
Whitewings,270,Keelboat,C class,Jack Brookes,
Whiting Power Systems,9905,Keelboat,Elliott 7,Greg Elliott,
Whitney Rose,8389,,,L Hess,
Whkarwe,T3374,,,,
Who's Who,6154,Other,,L Davidson,
Whowunder,T2360,,,,
Why,2470,,,H Wagstaff,
Wi-Fi Free,T3839,Trailer Yacht,Noelex 25,TrethewayMarten,
Wi-Wurri,T3251,,Young 6,Jim Young,
Wicked Eh,8051,Keelboat,Beale 850,Ray Beale,
Wife,8648,Other,,Dennis Ganley,
Wild,9550,Keelboat,,Inglis,
Wild Abandon,60100,Keelboat,Brenta 60,Luca Brenta,
Wild Blue,52924,Keelboat,J124,J Boat,
Wild Buoy,T1475,,Young 5.2,Jim Young,
Wild Card,9798,Keelboat,Schumacher 50,C Schumacher,
Wild Cherry,4888,,Whiting 36,P Whiting,
Wild Cherry II,T467,,,F Pelin,
Wild Child,T899,Trailer Yacht,,Honey/Trethewey,
Wild Colonial Boy,6942,,,A Sedlmayer,
Wild Goose,T970,Trailer Yacht,,,
Wild Goose,7238,,,Horstman,
Wild Goose,3220,,Cavalier 32,R Salthouse,
Wild Goose II,8582,,,E Haag,
Wild Honey,T1622,,Monarch 17,,
Wild Honey,T2519,,,F Pelin,
Wild Honey,2461,,,Alan Wright,
Wild Honey II,3587,,,R Hartley,
Wild Honey II,T238,,,R Hartley,
Wild Honey III,T2292,,,Honey/Trethewey,
Wild Horses,9214,Keelboat,Beneteau,Berret / Racoupeau (Beneteau 393),
Wild Image,4592,,,,
Wild Lone,7087,Multi-hull,,,
Wild Magic,5065,,Farr 940,Bruce Farr,
Wild Oats,5402,Keelboat,Ross 930,Ross,
Wild Oats,T2614,,,,
Wild Onion,5861,,H 28,L F Herreshoff,
Wild Orchid,T3421,Other,Ross 650,Murray Ross,
Wild Rose,8366,Other,,Ray Beale,
Wild Rosie,8621,Keelboat,Pilothouse Sloop,Van de Staht,Waikato/Thames
Wild South,T4034,,Young 780,Jim Young,
Wild Thing,6781,Keelboat,Young 840,Jim Young,
Wild Thing 3,6802,Keelboat,Farr 1104,Bruce Farr,Northland
Wild Things,T2091,Trailer Yacht,Sabre 20,A W Scott,
Wild Thoughts,T3501,Trailer Yacht,,Alan Wright (Quintet 7.0),
Wild Thyme,4231,,Lotus 9.2,A Wright,
Wild Turkey,3264,,,Bruce Farr,
Wild Violet,2686,,Harmonic,H Wagstaff,
Wild Wind,T1572,,,Honey/Trethewey,
Wild Wood,5658,Keelboat,Young 88,Jim Young,Canterbury
Wild!,4644,Keelboat,Farr 727,Bruce Farr,
Wildcard,5385,Keelboat,Young 88,Jim Young,
Wildebeest,5991,,,D Ganley,
Wildfire,E1,Keelboat,Etchells,R Etchell,
Wildfire,1337,Other,Townson 32 Twilight,D T Townsen,Auckland
Wildfire,T3534,,,Honey/Trethewey,
Wildflower,8302,,,B Roberts,
Wildflower I,5538,Keelboat,Currawong,J Pugh,
Wildsweet,9542,Keelboat,Ocean 40,John Reynolds,
Wildtrack,4743,Keelboat,Tracker,Alan Wright,
Wilhelm Tell,T499,,,Honey/Trethewey,
Wilkie,3620,,Davidson 31,L Davidson,
Will,9991,,,Bruce Farr,
Will,8450,,,Bruce Farr,
Will Watch,3506,,Lotus 9.2,Alan Wright,
Will Watch,T1256,,,Alan Wright,
Will-O-Wisp,5841,,,J Gladden,
William Tell,935,Other,,Sparkman & Stephens,
Williams Joy,T3806,,Cherry 16,Pelin,
Willie Beware,2190,Keelboat,,F Pelin,
Willie Winkie,T2508,,,Bruce Farr,
Williwaw,1541,,,J Spencer,
Willow,10014,Keelboat,unknown,Alan Warwick,
Willpower,8423,Keelboat,Askew 47,Bruce Askew,
Wilparina,4273,,,L Davidson,
Wimoweh II,2997,Keelboat,Tracker,A Wright,
Winchester,5316,,,Sedlmayer,
Wind Bird,5002,Keelboat,Tracker,Alan Wright,
Wind Breaker,T2038,,,Honey/Trethewey,
Wind Dancer,4372,Other,Nova,Alan Wright,
Wind Dancer II,9225,Keelboat,Catalina 36 Mk1,"Catalina Yachts, Frank Butler",
Wind Haven,87,Other,,Col Wild,
Wind Hunter,T624,Trailer Yacht,Gazelle 24,T Adams,
Wind Rode,T1720,,Caribou 20,F Pelin,
Wind Song II,T2874,,,Honey/Trethewey,
Wind Spirit,T4261,Trailer Yacht,Magnum 20,,East Coast NI
Wind Vogel,6812,Keelboat,,J Lidgard,
Wind Wagon,2787,,,E Cox,
Windana,T144,,,Alan Wright,
Windana 111,9175,Keelboat,Starlight 35,Stephen Jones,
Windance,T615,,Hartley 16,Hartley,
Windance,2293,,,A Mummery,
Windarra,3393,Keelboat,unknown,Doug Peterson,
Windbag,6205,,Whiting 29,Paul Whiting,
Windborne,2140,Keelboat,,Porter,
Windbourne,T2498,,,,
Windcall,8947,Keelboat,,J & J,
Windcharm,T469,,Tasman 20,Alan Wright,
Windchase,2438,Keelboat,Pacific 38,A Smith,
Windchild,3099,Keelboat,,Bruce Askew,
Windclipper,T3197,,,Honey/Trethewey,
Windekind,T1562,Trailer Yacht,Noelex 22,Honey/Trethewey,
Windemere II,5137,Keelboat,,R Hartley,
Windenzee II,8956,Keelboat,,Taken,
Windermere,652,,,R Hartley,
Windfall,T3262,,,,
Windfall,1785,Keelboat,Raven 26,Owen Woolley,
Windfall II,T3440,Trailer Yacht,Farr 6000,Bruce Farr,Canterbury
Windflower,8167,Keelboat,,Hartley,
Windflower,3337,,,Owen Woolley,
Windflower,7021,Multi-hull,Trimaran,A Piver,
Windflower,T1534,,Merlin,A Mummery,
Windflower II,T1239,,,Hart Bros,
Windflower II,6792,,,Alan Wright,
Windflyt,5461,,Townson 36,D T Townson,
Windhover,2667,Other,,J Spencer,
Windigo,3267,Keelboat,Townson 32,D T Townson,
Windigo II,9080,Keelboat,Raven 38,Owen Woolley,
Windjammer,1583,Other,Salar 40,Laurent Giles,
Windjammer II,T879,,,Honey/Trethewey,
Windmaster,5444,,,Herreshoff,
Windmistress,4500,,,C & C,
Windpiper,611,,,P Brohall,
Windpower,9238,Keelboat,Bavaria 34,Bavaria,
Windquest,6256,Keelboat,Lotus 950,Alan Wright,Auckland
Windride,T4021,Other,,Birdsall,
Windrift,670,,,J Spencer,
Windrift II,4306,Other,,R Hartley,
Windrose,T2768,,,Bruce Farr,
Windrose,73,,,Rhodes,
Windrush,T1668,,Noeleda,N Honey,
Windrush II,T457,Trailer Yacht,Farr 6000,Bruce Farr,
Windseeker,T1133,Trailer Yacht,,,
Windshadow,7490,Other,,M Tennant,
Windshadow,4125,Other,,Bruce Farr,
Windsheer,3885,Keelboat,,Drummond,
Windshift,6674,,,A Warwick,
Windshift 2,9509,Keelboat,Beneteau Idylle 1350,Frers,
Windsong,T435,,,A N Wright,
Windsong,416,,,J B Clark,
Windsong,7078,Multi-hull,,Jim Young,
Windsong 81,T3865,Other,,Alan Wright,
Windsong II,1026,Keelboat,,Jack Holt (modified yachting world diamo,
Windsong III,T860,Trailer Yacht,Young 5.7,Jim Young,
Windsong IV,T1623,,,,
Windsong IX,T2729,,,C Bekesi,
Windsong V,T1686,Trailer Yacht,Coronet 20,J Brooke,
Windsong VI,T1748,,,,
Windsong VII,T1894,Other,,R Hartley,
Windsong VIII,T1970,Trailer Yacht,Noelex 22,Honey/Tretheway,
Windsong Xii,T3531,,,Honey/Trethewey,
Windsong Xiii,T868,,,Bruce Farr,
Windspirit,6170,Keelboat,Oceans 14,Alan Wright,
Windspirit II,6879,Keelboat,Farr 1020,Bruce Farr,
Windstar,817,,,B Woollacott,
WINDSURFER,O7075,Keelboat,Voyage 12.50,Ribadeau Dumas,
Windswept,T321,,,F de Joux,
Windswept,3503,Keelboat,Davidson 28,L Davidson,
Windswept II,9139,Keelboat,,Samson,
Windswift,T1549,,,R Hartley,
Windtamer,T770,,,Trethewey/Mart,
Windtanz,657,,,J Holt,
Windwagon,T1718,,,Alan Wright,
Windward,134,Other,,,
Windward Clipper,4878,,,M Elmes,
Windward Spirit,2709,,,D Ganley,
Windwhistle,5357,,,Benfield,
Winedown,6971,Keelboat,,R Humphreys,Auckland
Wineoceros,T4013,,,TrethewayMarten,
Wing Away,6535,,Variant,Alan Wright,
Wingaway,T3329,,,TretheweyMarten,
Wings,2198,,,Alan Wright,
Wings,T1591,,,F Pelin,
Wings Of A Dove,6696,Keelboat,Lotus 950,Alan Wright,
Wingz,tbc1,Keelboat,,Farr/Cookson,Auckland
Winifred,3117,,,Jim Young,
Winjeel II,T2607,Other,Farr 6000,Bruce Farr,
Winkie,4825,,Tracker,Alan Wright,
Winnie The Pooh,2305,,Variant,Alan Wright,
Winslow,10455,Keelboat,Hanse,Hanse,Auckland
Winsome,1174,,,R Hartley,
Winsome,T3314,,,TretheweyMarten,
Winsome II,T3352,,Young 6,Jim Young,
Winsome II,L1223,,,,
Winsome II,5009,Keelboat,H 28,L F Herreshoff,
Winterhawk,L1039,,,T Barnett,
Wired,10303,Keelboat,Bakewell-White 15.85,Bakewell White Yacht Design,Auckland
Wirruna,5625,Keelboat,,Bruce Farr,
Wisecrack,6259,,Marauder,Alan Wright,
Wiseguy,6585,Keelboat,Young 88,Jim Young,
Wish You Were Here,9320,Keelboat,Beneteau,Finot-Conq (Beneteau Oceanis 34),
Wishaway,2404,,Cavalier 32,R Salthouse,
Wishbone,3397,Keelboat,Whiting Reactor 25,Paul Whiting,Auckland
Wisp,T2385,Trailer Yacht,Sabre 20,Alan Scott,
Witch Wind,6793,Keelboat,,Grant Senior,
Witchcraft,596,,Spencer 30,J Spencer,
Witchcraft,T3036,,,B Askew,
Witchcraft II,T3553,,,J Lidgard,
Witchcraft II,3036,,,B Askew,
Witchdoctor,5675,Keelboat,Davidson 46,L Davidson,
Witches Promise,6655,Keelboat,Warwick 10.5,A Warwick,
Witchway,T1869,,Merlin,A Mummery,
Witchy Woman,6177,Keelboat,Young 11,Jim Young,Northland
Witness,5838,,,Ron Holland,
Witzend,T3088,,,F Pelin,
Witzend,6838,Keelboat,Lotus 10.6,Alan Wright,
Wizard,2501,,,A Mummery,
Wizard,8901,Keelboat,,Nathaniel Herreshoff,
Wizard,T2501,,,A Mummery,
Wizard,9900,Keelboat,,Angelo Lavranos,
Wizard II,3217,,,ALAN WRIGHT,
Wizard Of Earthsea,434,,,Chinese Junk,
Wizard Of Id,T4123,,Merlin,A Mummery,
Wizarditiz,T1772,,Merlin,A Mummery,
Wizzard,7566,Other,,Tim Clissold,
Wizzard,7566,Multi-hull,,Tim Clissold,
Wizzaway,T1990,Trailer Yacht,Merlin 6.1,A Mummery,
Wizzy,3147,,,Owen Woolley,
Woftam,2692,,,Lees,
Wolf,167,,,Woollacott,
Wolfhound,2935,,,Laurent Giles,
Wombat,T1313,,,Honey/Trethewey,
Wombat,953,Other,,R Hartley,
Wombat II,2487,,,Ericson,
Womble Inn,T1841,Other,,N Honey,
Wondai,T3470,Trailer Yacht,Noelex 22,Honey/Trethewey,
Wonderwall,9897,Keelboat,Beneteau Oceanis 46.1,Pascal Conq and Nauta Design,Auckland
Wondrous Oblivion,9740,Keelboat,Judel/Vrolijk,Judel/Vrolijk & Co,
Woodbine,4103,,,H Wagstaff,
Woodstock,T180,,,Hartley,
Woodstock,3936,Keelboat,Pied Piper,Des Townson,
Woodstock II,2256,,Salthouse 25,R Salthouse,
Woodstock II,T466,,,R Hartley,
Woodwind,4523,,,R Hartley,
Woodworm,T4057,,Tracker,Allan Wright,
Woolly Jumper,6383,Keelboat,Ron Holland 50,Ron Holland,Auckland
Woolpower,T2477,,Farr 6000,Bruce Farr,
Wooly Woop,T1012,Trailer Yacht,,R Hartley,
Wori Wori,T3415,,,O Woolley,
Working Capital,5915,,,Rob Carpenter,
Wossli Bonc,2594,Keelboat,,S W Doar,
Wotan,1670,Other,,D T Townson,
Wotchamacallit,T866,,,TretheweyMarten,
Wound Up,7457,Multi-hull,Trimaran,Dilk Newick,
Wright Away,5772,,,Alan Wright,
Wright Decision,6352,Keelboat,Wright 10,Alan Wright,
Wright Flyer,5682,Keelboat,Wright 10,Alan Wright,
Wright Formula,410,Keelboat,Wright 10,Alan Wright,Northland
Wright One,6657,Keelboat,Lotus 950,Alan Wright,
Wrighteous,6010,,Wright 10,Alan Wright,
Wrinkles,6818,,,D Ganley,
Wulp,484,Other,Tumlarn,Riemers,
Wunjo,8177,,,G Frers,
Wy Wurrie II,5928,Keelboat,,R Hartley,
Wyn-A-Way,T2871,,,E Garratt,
Wynddown,9537,Keelboat,Jeanneau Sun Odyssey 349,Marc Lombard,Bay of Plenty
Wyndspelle,5516,Keelboat,,A Warwick,
Wynsom,2645,Keelboat,,L F Herreshoff,
Wyona II,2208,,,R Hartley,
X T C,T2374,,,F Pelin,
X-Caper,T2424,,Sigrid,,
X-Static,5969,,Farr 9.2,Bruce Farr,
X-Ta-C-N-B,T2687,,,A Scott,
X-Tension,5325,,Lotus 9.2,Alan Wright,
Xanadu,161,,Matangi,R Stewart,
Xanadu,,Keelboat,Hartley,,
Xanadu II,T720,Trailer Yacht,Noelex 22,Honey/Trethewey,
Xanadu II,5201,Keelboat,,J Spencer,
Xanadu III,T3465,Other,,R Given,
Xanadu IV,T2445,,,F Pelin,
Xanadu V,T3746,,Moonraker,A Sedlemeyer,
Xanadu VI,T1186,Trailer Yacht,Noeleda,N Honey,
Xanthe,1437,,,R Hartley,
Xanthos,T1091,Trailer Yacht,Farr 7.5,Bruce Farr,
Xaviera,5414,Other,,R Holland,
Xclusive,9471,Multi-hull,Norris 14,John Norris,
Xebec,T560,,,E Garratt,
Xebec,6253,,Lotus 950,Alan Wright,
Xebec II,T1964,,,N Honey,
Xebec III,T1234,,,Honey/Trethewey,
Xeleon,T990,Trailer Yacht,,TretheweyMarten,
Xena,T4156,Trailer Yacht,Monarch 17,Alan Wright,
Xena,8475,Keelboat,Young 99,Jim Young,Nelson/Marlborough
Xin Chou,T2008,Trailer Yacht,Prionotus,M Stark,
Xl,7651,Multi-hull,Extreme 40,Yves Loday,
Xl R8,8458,,,Ray Beale,
Xpdnc,T2228,,,Pelin,
Xpress,8432,Keelboat,,J Lidgard,
Xquisite,9869,Keelboat,Xc38,Niels Jeppsen,
Xtc III,6221,Keelboat,Farr 1020,Bruce Farr,
Xtsea,T3145,Trailer Yacht,Ross 780,Murray Ross,Wellington
Xylia,T1126,Trailer Yacht,Young 6.7,Jim Young,
Y Doraig Goch,T1730,,,J van Giels,
Y Knot,T1625,,,R Hartley,
Y Knot II,T1976,,,R Hartley,
Y Not,T4097,Other,Kestrel,F de Joux,
Y-Fa,T1367,,,R C Mahan,
Y-Knot,T964,Trailer Yacht,,R Hartley,
Y-Not II,T3346,,Young 6,Jim Young,
Yachting Developments,9908,Keelboat,Elliott 7,Greg Elliott,
Yahabebee,T634,,,Bruce Farr,
Yahtzee,3619,,,Owen Woolley,
Yakaboo,2263,Keelboat,Raven 26,Owen Woolley,
Yakamoz,9871,Keelboat,,AMEL,Auckland
Yamana,10110,Keelboat,Beneteau Idylle 13.5,Beneteau,
Yankee Dieman,T409,,,J Lidgard,
